art;ref;year;type.measure;category;measure2;measure;between_ef;study;environ;dyad.type;order;genus;sp;trait;disp;display;fight.cat;fighting.style;RHP_losers;S_losers;N_losers;RHP_winners;S_winners;N_winners;Chi_sq;N_chi;z-score;N_z;p_z;rs;N_rs;paired_t;pairedt_N;pairedt_p;wilcox_z;wilcox_n;wilcox_p;F_value;F_N;F_p;yi;vi;N
ar6;Briffa;2008;mass;massa_corpo;mass;mass;1;1;lab;random;Orthoptera;Acheta;Acheta domesticus;body;weapon;weapon;interm;lift.impact;0.184;0.046;33;0.219;0.04;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.802420765;0.0660444;33
ar6;Briffa;2008;comprimento_mand_direita;comprimento_arma;length;linear;2;1;lab;random;Orthoptera;Acheta;Acheta domesticus;weapon;weapon;weapon;interm;lift.impact;2.457;0.365;33;2.575;0.432;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2915;0.061;33
ar6;Briffa;2008;comprimento_mand_esquerda;comprimento_arma;length;linear;3;1;lab;random;Orthoptera;Acheta;Acheta domesticus;weapon;weapon;weapon;interm;lift.impact;2.288;0.302;33;2.268;0.478;33;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.0494;0.061;33
ar67;Palaoro_et_al;2014;carapace_length;comprimento_corpo;length;linear;4;2;lab;random;Decapoda;Aegla;Aegla longirostri;body;tact;body;interm;squeeze.pull;1.658.933.333;1.966.870.127;15;1.942.466.667;2.567.519.277;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2062;0.16148865;15
ar67;Palaoro_et_al;2014;claw_height;comprimento_arma;height;linear;5;2;lab;random;Decapoda;Aegla;Aegla longirostri;weapon;tact;body;interm;squeeze.pull;5.859.333;1.080.301;15;7.623.333.333;1.558.615;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2798;0.16632818;15
ar67;Palaoro_et_al;2014;claw_length;comprimento_arma;length;linear;6;2;lab;random;Decapoda;Aegla;Aegla longirostri;weapon;tact;body;interm;squeeze.pull;1.037.466.667;1.801.689.155;15;1.303.133.333;2.401.466.417;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2175;0.1622;15
ar67;Palaoro_et_al;2014;claw_strength;forca_arma;strength;performance;7;2;lab;random;Decapoda;Aegla;Aegla longirostri;weapon;tact;body;interm;squeeze.pull;0.075930866;0.067462398;15;0.184463602;0.096519243;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2681;0.1656;15
ar44;Kim_et_al;2011;horn_length;comprimento_arma;length;linear;8;3;lab;random;Orthoptera;Loxoblemmus;Loxoblemmus doenitzi;weapon;tact;body;interm;impact.push;NA;NA;NA;NA;NA;NA;1187;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.36;0.12;35
ar44;Kim_et_al;2011;body_size;comprimento_corpo;length;linear;9;3;lab;random;Orthoptera;Loxoblemmus;Loxoblemmus doenitzi;body;tact;body;interm;impact.push;NA;NA;NA;NA;NA;NA;8289;35;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.07;0.15;35
ar28;Hoem_et_al;2007;antler_index;comprimento_arma;index;index;10;4;field;random;Mammalia;Capreolus;Capreolus capreolus;weapon;weapon;weapon;interm;push.impact.lift;NA;NA;NA;NA;NA;NA;23728;40;2.03;40;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.34;0.24;40
a97;Hongo;2003;horn_length;comprimento_arma;length;linear;11;5;field;random;Coleoptera;Trypoxylus;Trypoxylus dichotomus;weapon;no;no;body;lift.push;NA;NA;NA;NA;NA;NA;0.59;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.22;0.09;47
a97;Hongo;2003;body_size;comprimento_corpo;length;linear;12;5;field;random;Coleoptera;Trypoxylus;Trypoxylus dichotomus;body;no;no;body;lift.push;NA;NA;NA;NA;NA;NA;7532;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;0.1;47
a97;Hongo;2003;horn_length;comprimento_arma;length;linear;13;5;field;random;Coleoptera;Trypoxylus;Trypoxylus dichotomus;weapon;no;no;body;lift.push;NA;NA;NA;NA;NA;NA;17054;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.47;0.13;47
ar41;Karino_et_al;2005;horn_length;comprimento_arma;length;linear;14;6;lab;random;Coleoptera;Trypoxylus;Trypoxylus dichotomus;weapon;no;no;body;lift.push;NA;NA;NA;NA;NA;NA;2.91;101;-7.43;101;0.0001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.34;0.04;101
ar41;Karino_et_al;2005;body_size;comprimento_corpo;length;linear;15;6;lab;random;Coleoptera;Trypoxylus;Trypoxylus dichotomus;body;no;no;body;lift.push;NA;NA;NA;NA;NA;NA;0.67;101;-7.46;101;0.0001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.16;0.04;101
ar18;Dale_Slagvsold;1995;body_size;comprimento_corpo;length;linear;16;7;field;random;Aves;Ficedula;Ficedula hypoleuca;body;visual;body;weapon;squeeze.pierce;12.81;0.871;10;13.23;1.189;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.385925417;0.20793621;10
ar18;Dale_Slagvsold;1995;tarsus_length;comprimento_arma;length;linear;17;7;field;random;Aves;Ficedula;Ficedula hypoleuca;weapon;visual;body;weapon;squeeze.pierce;19.55;0.609;10;19.7;0.609;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.235873504;0.20521435;10
ar36;Jennions_Backwell;1996;carapace_width;comprimento_corpo;width;linear;18;8;field;random;Decapoda;Austruca;Austruca annulipes;body;weapon;weapon;interm;lift.squeeze;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2351;82;19;NA;NA;NA;0.54;0.03;82
ar36;Jennions_Backwell;1996;claw_length;comprimento_arma;length;linear;19;8;field;random;Decapoda;Austruca;Austruca annulipes;weapon;weapon;weapon;interm;lift.squeeze;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2203;82;28;NA;NA;NA;0.5;0.02;82
ar43;Kelly;2006;head_length;comprimento_arma;length;linear;20;9;lab;random;Orthoptera;Hemideina;Hemideina crassidens;weapon;weapon;weapon;interm;squeeze.pull;NA;NA;NA;NA;NA;NA;12.3;57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.03;0.09;57
ar52;MartinerCotrina_et_al;2014;snout-vent_length;comprimento_corpo;length;linear;21;10;lab;random;Lizard;Gonatodes;Gonatodes albogularis;body;weapon;weapon;weapon;squeeze;36.33;2.861.153.613;22;37.92;2.392.112.038;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.592097114;0.09599486;22
ar52;MartinerCotrina_et_al;2014;body_mass;massa_corpo;mass;mass;22;10;lab;random;Lizard;Gonatodes;Gonatodes albogularis;body;weapon;weapon;weapon;squeeze;1.43;0.281424946;22;1.53;0.234520788;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.379103809;0.09354735;22
ar52;MartinerCotrina_et_al;2014;head_width;comprimento_arma;width;linear;23;10;lab;random;Lizard;Gonatodes;Gonatodes albogularis;weapon;weapon;weapon;weapon;squeeze;5.84;0.469041576;22;5.88;0.469041576;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.083746769;0.09192425;22
ar52;MartinerCotrina_et_al;2014;head_height;comprimento_arma;height;linear;24;10;lab;random;Lizard;Gonatodes;Gonatodes albogularis;weapon;weapon;weapon;weapon;squeeze;4.43;0.609754049;22;4.63;0.469041576;22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.361057958;0.09343883;22
ar57;MolinaBorja_et_al;1998;body_weight;massa_corpo;height;mass;25;11;lab;random;Lizard;Gallotia;Gallotia galloti;body;weapon;weapon;weapon;squeeze;35379;8.246.618.701;20;41052;894.427.191;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.646341531;0.10643251;20
ar57;MolinaBorja_et_al;1998;head_length;comprimento_arma;length;linear;26;11;lab;random;Lizard;Gallotia;Gallotia galloti;weapon;weapon;weapon;weapon;squeeze;26644;3.658.207.211;20;27637;3.398.823.326;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.275637998;0.10208301;20
